    table_name     |    column_name     |          data_type          
-------------------+--------------------+-----------------------------
 exercise_sessions | created_at         | text
 exercise_sessions | date               | text
 exercise_sessions | exercise_id        | integer
 exercise_sessions | id                 | integer
 exercise_sessions | notes              | text
 exercise_sessions | user_id            | integer
 exercises         | canonical_key      | text
 exercises         | category           | text
 exercises         | id                 | integer
 exercises         | is_calorie         | boolean
 exercises         | name               | text
 lift_sessions     | created_at         | timestamp without time zone
 lift_sessions     | date               | timestamp without time zone
 lift_sessions     | exercise_id        | integer
 lift_sessions     | id                 | integer
 lift_sessions     | notes              | text
 lift_sessions     | user_id            | integer
 lift_sessions     | workout_session_id | integer
 lift_sets         | id                 | integer
 lift_sets         | lift_session_id    | integer
 lift_sets         | notes              | text
 lift_sets         | order_index        | integer
 lift_sets         | reps               | integer
 lift_sets         | rpe                | real
 lift_sets         | weight_kg          | real
 runs              | created_at         | text
 runs              | date               | text
 runs              | distance_km        | real
 runs              | duration_seconds   | integer
 runs              | id                 | integer
 runs              | notes              | text
 runs              | run_type           | text
 runs              | unit               | text
 runs              | user_id            | integer
 schema_migrations | applied_at         | timestamp with time zone
 schema_migrations | description        | text
 schema_migrations | version            | text
 set_components    | distance_meters    | real
 set_components    | duration_seconds   | integer
 set_components    | exercise_id        | integer
 set_components    | id                 | integer
 set_components    | load_type          | text
 set_components    | load_value         | real
 set_components    | notes              | text
 set_components    | reps               | integer
 set_components    | rpe                | real
 set_components    | set_group_id       | integer
 set_components    | weight_kg          | real
 set_entries       | id                 | integer
 set_entries       | notes              | text
 set_entries       | order_index        | integer
 set_entries       | reps               | integer
 set_entries       | rpe                | real
 set_entries       | session_id         | integer
 set_entries       | weight_kg          | real
 set_groups        | completed          | boolean
 set_groups        | id                 | integer
 set_groups        | order_index        | integer
 set_groups        | pattern_index      | integer
 set_groups        | rest_seconds       | integer
 set_groups        | shared_weight_kg   | real
 set_groups        | type               | text
 set_groups        | workout_session_id | integer
 user_profiles     | created_at         | text
 user_profiles     | goal               | text
 user_profiles     | height             | real
 user_profiles     | photo_path         | text
 user_profiles     | preferred_unit     | text
 user_profiles     | training_frequency | integer
 user_profiles     | updated_at         | text
 user_profiles     | user_id            | integer
 user_profiles     | weight             | real
 users             | created_at         | text
 users             | display_name       | text
 users             | id                 | integer
 users             | password_hash      | text
 users             | username           | text
 wins              | category           | text
 wins              | date               | text
 wins              | entry              | text
 wins              | id                 | integer
 wins              | user_id            | integer
 wods              | date               | text
 wods              | emom_duration      | integer
 wods              | emom_interval      | integer
 wods              | id                 | integer
 wods              | name               | text
 wods              | notes              | text
 wods              | result             | text
 wods              | time_cap_minutes   | integer
 wods              | user_id            | integer
 wods              | wod_type           | text
 wods              | workout_text       | text
 workout_sessions  | context            | text
 workout_sessions  | created_at         | text
 workout_sessions  | date               | text
 workout_sessions  | emom_duration      | integer
 workout_sessions  | emom_interval      | integer
 workout_sessions  | id                 | integer
 workout_sessions  | notes              | text
 workout_sessions  | time_cap_minutes   | integer
 workout_sessions  | type               | text
 workout_sessions  | user_id            | integer
(103 rows)

